summary,article,emotion_label,predicted_summary
when will 'acche din' come for lord ram shiv sena,"shiv sena on thursday criticised bjp over the ram temple issue, questioning when will ""acche din good days"" come for lord ram. in its mouthpiece 'saamana', shiv sena further said that the construction of ram temple in ayodhya has become another ""jumla rhetoric"" for bjp. the sena also demanded the withdrawal of cases against those who demolished babri masjid.",neutral,shiv sena criticizes bjp over ram temple issue.
choreographer once told salman i'm zero as a dancer katrina,"actress katrina kaif has revealed that she once heard choreographer raju sundaram telling salman khan that she is 'zero' as a dancer. ""i was shocked to hear that,"" she added. katrina further said she later worked on her dancing skills while adding, ""i trained with kathak guru, veeru krishnan, from 7 am to 1 pm almost every day.""",sadness,katrina kaif once heard raju sundaram telling salman khan she is 'zero'
prasoon slams 'padmavati' makers over private screenings,"censor board chief prasoon joshi has slammed the makers of 'padmavati' for holding private screenings of the film for media persons before the film has been certified by the board. ""this compromises the role of systems and balances that are part of a functioning industry,"" he added. prasoon further said the board is being targetted for delaying the film's certification.",anger,censor board chief prasoon joshi slams makers of 'padmavati'
turkey carries out suspected gas attack in syria reports,"turkey has been accused of carrying out a suspected gas attack in syria by the syrian kurdish forces and the syrian observatory for human rights. as a result of the attack, six civilians suffered breathing difficulties and other symptoms indicative of poisonous gas inhalation, syria's state media reported. this comes as turkey launched a military offensive against syria's kurdish militia.",fear,"six civilians suffered breathing difficulties and symptoms indicative of poisonous gas inhalation, syria's state media reports."
bullet train won't fit criminals linked to bjp cong leader,congress leader mallikarjun kharge on monday claimed that even the ahmedabadmumbai bullet train proposed by the centre will not be able to accommodate all the criminals associated with the bjp. this comes after pm narendra modi said the congress is now considered a 'bailgaadi' as several eminent leaders and former ministers from the party have been released on bail.,neutral,the ahmedabadmumbai bullet train will not be able to accommodate all criminals.
maha cm skips puja at pandharpur temple amid protest threats,"maharashtra cm devendra fadnavis on monday skipped the annual puja at lord vitthal temple in pandharpur and performed the rituals at his mumbai residence after maratha groups seeking reservation threatened to disrupt the event. fadnavis, who performed the puja for three years, said he skipped the event this year to ensure the safety of 10 lakh devotees at the temple.",anger,devendra fadnavis skipped annual puja at lord vitthal temple in pandharpur.
trailer of game of thrones season 7 released,"the trailer of the seventh season of the hbo series game of thrones got has been released. characters including jon snow, daenerys targaryen, arya stark, tyrion lannister, cersei lannister and her brother jaime have featured in the trailer. the new season, which will consist of only seven episodes, will premiere on july 16.",neutral,trailer of seventh season of game of thrones got released.
aaron finch calls his dismissal by kuldeep a 'brain fade',"aaron finch, who topscored for australia with 42 runs in the first t20i on saturday, described his dismissal by kuldeep yadav as a 'brain fade moment'. ""the ball that i got out on was a little bit of brain fade, i went to sweep and just tried to chip him on the onside for one, and missed it,"" finch said.",sadness,aaron finch tops australia with 42 runs in first t20i on saturday.
"sameer garde named cisco president for india, saarc region","tech giant cisco has named former philips healthcare executive sameer garde as the president for its india and saarc operations. garde will join the company on august 1, 2017 and will succeed dinesh malkani. malkani will continue to be associated with the company as a strategic advisor till september this year to ensure a smooth and orderly transition.",neutral,"garde will join the company on august 1, 2017 and will succeed dinesh malkani."
perform if we don't want to perish air india md to staff,"in a message to employees, air india chairman and managing director pradeep singh kharola has said, ""we have to perform if we do not want to perish."" ""we have to adopt a professional and productive work culture which will hold the key for our turnaround,"" he added. this comes while the government is working on strategic disinvestment of the airline.",neutral,"air india chairman pradeep singh kharola: ""we have to perform if we do not want to perish"""
sharing my life's horrific secrets feels like detox kangana,"kangana ranaut has said sharing the horrific secrets of her life with people who were empathetic felt like detox. she added, ""whatever you keep as a secret has a life of its own...takes over your existence."" kangana further said, ""anything i hate and i can't stand...i speak about it openly because...if it rests inside me, it'll take over my life.""",fear,kangana ranaut shared the secrets of her life with people empathetic felt like detox.
us recognises venezuela's opposition leader as interim president,"us president donald trump recognised venezuelan opposition leader juan guaidã³ as the interim president. calling nicolãs maduro's government ""illegitimate"", trump said the parliament was the ""only legitimate branch of government duly elected by the people"". ""i'll continue to use the full weight of us economic and diplomatic power to press for the restoration of venezuelan democracy,"" trump added.",anger,"nicols maduro's parliament is the ""only legitimate branch of government duly elected by the people"""
trilliontonne iceberg that split from antarctica gets stuck,"the trilliontonne iceberg that broke off from antarctica's larsen c ice shelf last july, travelled only about 45 km before getting stuck behind an elevated ice structure starmarked, nasa satellite photos showed. if it gets destabilised, that could potentially lead to the collapse of the rest of the shelf and may lead to sealevel rise, said ukbased researcher anna hogg.",neutral,trilliontonne iceberg broke off from antarctica's larsen c shelf last july.
"sushant, bhumi to play dacoits in 'sone chidaiya'","actors sushant singh rajput and bhumi pednekar will be playing dacoits in their upcoming film 'sone chidaiya', their first film together. directed by 'udta punjab' director abhishek chaubey, the film is set in the 1970s and narrates the tale of chambal dacoits. sushant will reportedly spend time with a few former dacoits to prepare for the role.",neutral,sushant singh rajput and bhumi pednekar to play dacoits in'sone chidaiya'
hid my chest with paper as examiner stared neet aspirant,"a kerala neet aspirant has claimed she had to cover her chest with the question paper while taking the exam as a male examiner stared at her inappropriately. she also said she was asked to remove her bra during frisking as it contained metal parts. ""this made me really uncomfortable...they had already asked me to remove the inner,"" she added.",fear,kerala neet aspirant claims she had to cover chest with question paper.
people of mizoram should produce more children yma,"civil society organisation young mizo association yma has asked the people of mizoram to produce more children. as per yma's president, there's a lot of space occupied by migrants from other countries due to less population in the state. the annual population growth in mizoram is 1.6, which is below the national mark of 2.37 as recorded in 2011 census.",neutral,yma asks people of mizoram to produce more children
"aus player responds to fan on twitter, practises with him","australian tennis player nick kyrgios responded to a fan's request on twitter, practising with him on the sidelines of an atp tournament in canada on tuesday. the fan posted on twitter, ""i know this is a long shot but could we hit for 5 minutes if you're practicing?"" kyrgios agreed, also asking other fans if they wanted to practise.",neutral,nick kyrgios responds to fan's request on twitter.
climate change intensifying world conflicts red cross,"climate change is intensifying domestic and international conflicts, president of the international committee of the red cross, peter maurer has said. climate change and changing rainfall patterns are affecting the movement of people and the fertility of the land, he added. ""when people migrate in big numbers it leads to tensions between migrating and local communities,"" he further said.",fear,"climate change is intensifying domestic and international conflicts, red cross president says."
i've become star but i don't want to believe it ayushmann,"ayushmann khurrana said he knows he has become a star but he doesn't want to believe it, adding, ""i approach all my films as my first. if you carry that innocence, it reflects in the camera."" talking about his career, he said, ""my acting career has been quite a ride...i learnt so much from all my films, successful or unsuccessful.""",surprise,ayushmann khurrana says he has become star but doesn't want to believe it.
bieber is role model for millennial generation amjad ali,"sarod maestro ustad amjad ali khan has said that singer justin bieber is a role model for the millennial generation. he added, ""it's so wonderful to see the love that he has generated."" amjad, who will be gifting bieber a specially autographed sarod, said, ""since it's his bieber's first visit, it's a welcoming gesture as an indian artist.""",neutral,ustad amjad ali khan says justin bieber is a role model for the millennial generation
indianorigin lady convicted over fake clothing racket in uk,"the birmingham crown court has convicted an indianorigin woman and an asian man of running a counterfeit clothing factory in the uk and charged them with 22 offenses of counterfeiting under the trade marks act. officials found 6,143 counterfeit clothing labels including brands such as nike, henri lloyd, among others from the factory along with 894 garments worth â¹1.2 crore.",anger,birmingham crown court convicted indianorigin woman and asian man of running counterfeit clothing factory.
want separate residence to focus on my fight tej pratap,"rjd leader and lalu prasad yadav's son tej pratap yadav on sunday said that he wants a separate government residence to focus on his fight against bjp. ""how will i win the fight if i go and sit at home?"" he said. he further said that his applications for a new residence have not been responded to till now.",sadness,tej pratap yadav wants a separate residence to focus on his fight against bjp
raja beta needs to be told meaning of 'no' kangana on tanushree row,"commenting on the sexual harassment allegations made by tanushree dutta against nana patekar, actress kangana ranaut said, ""raja beta indian men needs to be told the meaning of 'no'."" she added that it's in the interest of the society. ""unfortunately, the way most indian men are raised...they even lack basic etiquettes like lifting the lid before peeing,"" kangana further said.",neutral,"""raja beta indian men needs to be told the meaning of 'no,"" kangana ranaut says."
haryana spent â¹90l on ads glorifying excm hooda cag report,"a cag report tabled in the haryana assembly has revealed that the state government spent over â¹90 lakh on television advertisements glorifying the then cm bhupinder singh hooda in 2014. the information and public relations department said the ads were aimed at promoting government schemes. notably, supreme court guidelines bar ruling parties from using ads to promote their political interests.",disgust,state government spent over â190 lakh on tv ads glorifying cm bhupinder singh hooda in 2014.
centre to 'strictly' maintain fiscal deficit at 3.3 jaitley,"finance minister arun jaitley on saturday said the government is ""confident and will strictly maintain"" the fiscal deficit target at 3.3 of gdp. jaitley's statement comes a day after he announced a series of measures aimed at stemming a decline in the rupee. ""we will have a growth rate higher than what we'd projected...in the budget,"" jaitley added.",neutral,arun jaitley says the government will strictly maintain the deficit target at 3.3 of gdp
india is fastestgrowing economy singh on yashwant's column,"union home minister rajnath singh on wednesday said, ""the whole world admits that india is the fastest growing economy in the world. no one should forget this fact."" this comes in retaliation to senior bjp leader yashwant sinha's column slamming finance minister arun jaitley for ""working overtime"" to ensure that all indians see poverty from equally close quarters.",surprise,rajnath singh says india is fastest growing economy in the world.
three hong kong cricketers charged by icc over matchfixing,"three hong kong cricketers, irfan ahmed, nadeem ahmed and haseeb amjad, have been charged by the international cricket council on 19 counts of breaching the icc anticorruption code. out of the three players, nadeem had played against india in the recently concluded asia cup 2018. the players have 14 days from october 8 to respond to the charges.",anger,hong kong cricketers charged on 19 counts of breaching icc anticorruption code.
daniel doesn't need a b'day to make me feel special sunny,"actress sunny leone, who celebrated her 36th birthday on saturday, has said, ""daniel makes me feel special every day. i don't need a birthday for that."" she added, ""he's always thinking of me and getting me special gifts, small or big."" she further said that she likes quiet dinners and seeing family, and is not the 'birthday celebrating type'.",joy,sunny leone celebrates her 36th birthday on saturday
"pakistan army, govt to jointly fight kulbhushan jadhav case","the pakistan army and the civilian government will jointly fight the kulbhushan jadhav case from now, as it was the military which sentenced him to death. pakistanâs national assembly speaker sardar ayaz sadiq gave the statement to  radio pakistan, the staterun broadcaster. notably, pakistan attorney general had said he would fight the case himself, after the icj stayed jadhav's execution.",neutral,pakistan army and civilian government will fight kulbhushan jadhav case from now.
odisha hc judge gets off train after finding dead rat,an odisha high court judge biswanath rath who boarded konark express from bhubaneswar terminated his journey midway because of a foul smell coming from a dead rat in his airconditioned coach. the judge then registered a complaint about the poor hygienic conditions in the train. the east coast railway assured action will be taken against those responsible for the incident.,disgust,biswanath rath boarded konark express from bhubaneswar
triple talaq law violates fundamental rights aimim chief,"opposing the ordinance passed by the government that makes triple talaq a punishable offence, aimim chief asaduddin owaisi said the ordinance ""violates the fundamental rights as laid down in the constitution"". ""we're opposing this because this is against our shariat...this ordinance is against the muslim women,"" he added. owaisi also said the supreme court never stated triple talaq as unconstitutional.",anger,"triple talaq is a punishable offence, owaisi says."
"priyanka, nick to have 2 different types of weddings report","priyanka chopra and nick jonas will have two different types of weddings out of which one will be a traditional hindu ceremony and another will be a christian wedding ceremony to honour each other's faith, suggested reports. around 15002000 guests will attend the wedding which will take place at umaid bhawan palace in jodhpur on december 2, as per reports.",surprise,priyanka chopra and nick jonas will have two different types of weddings out of which one will be a traditional hindu ceremony and another to honour each other's faith.
google ceo shoots for srk's ted talks via telepresence robot,"google ceo sundar pichai has shot for an episode of shah rukh khan's show 'ted talks india nayi soch' via beam, a telepresence robot. it was a virtual interactive session between the show's host shah rukh in mumbai and pichai, who joined the session from california. the show, that will be aired on star plus, will reportedly have 14 episodes.",neutral,google ceo shot for episode of 'ted talks india nayi soch'
3judge bench led by cji to hear judge loya's death case,a threejudge supreme court bench headed by chief justice dipak misra will hear the petitions demanding an independent probe into the allegedly suspicious death of cbi judge bh loya on monday. this comes after the case prompted four senior sc judges to hold a press conference. judge loya had been hearing the sohrabuddin sheikh encounter case when he died.,sadness,cbi judge bh loya's death prompted four sc judges to hold press conference.
ram mandir in ayodhya will bring hindumuslim peace bhagwat,"rss chief mohan bhagwat said on wednesday that the construction of a ram mandir in ayodhya will help bring peace between hindus and muslims. he said that though ram is god for many, some also ""consider him as an icon of maryada moral standard"". he added it is an issue of faith for all sections of society.",joy,the construction of a ram mandir will help bring peace between hindus and muslims.
world's 100 richest tech billionaires now worth over 1 tn,"world's 100 richest selfmade tech billionaires on forbes' richest in tech list are worth over 1 trillion for the first time. their combined net worth of 1.08 trillion is up 21 from last year. half of the 189 billion increase came from 10 richest tech billionaires. notably, microsoft founder bill gates maintained his spot as the richest person in tech.",joy,net worth of 1.08 trillion up 21 from last year. half of 189 billion increase came from 10 richest tech billionaires
denied permission to fb's free basics ravi shankar prasad,"minister of law and justice of india, ravi shankar prasad has said he denied permission to facebook's free basics platform while he was handling the communications ministry. ""right of nondiscriminatory access to internet is not negotiable,"" prasad said. facebook launched free basics across india, offering free internet access to some websites that were available on its free basics platform.",sadness,prasad says he denied permission to free basics platform.
sbi left banking data of millions of users unprotected report,"a techcrunch report has claimed that indiaâs largest bank sbi secured a passwordless server ""overnight"" on being alerted it allowed anyone to access phone numbers, bank balances, and transactions of millions of its customers. the mumbaibased server was containing two months of data from sbi quick, an sms and callbased system used to request basic information about accounts, techcrunch revealed.",neutral,"india's largest bank sbi secured passwordless server ""overnight"""
ghajini director slams national awards jury for being biased,"ar murugadoss, director of 2008 film 'ghajini' on twitter slammed the 64th national awards' jury for being biased. after the awards were announced, numerous twitter users questioned why the best actor national award was given to akshay kumar and not aamir khan. meanwhile, filmmaker hansal mehta also expressed disappointment at his film 'aligarh' not receiving any recognition.",anger,twitter users questioned why best actor national award was given to akshay kumar and not aamir khan
"if yogi is up cm, dawood can be cbi director, tweets shirish","filmmaker shirish kunder has slammed yogi adityanath's appointment as the chief minister of uttar pradesh by comparing it to how dawood ibrahim can be made cbi director. shirish also tweeted, ""hoping a goon will stop rioting once he's allowed to rule is like expecting a rapist to stop raping once he's allowed to rape."" however, the tweets have been deleted.",neutral,shirish kunder compares yogi adityanath's appointment to cbi chief minister.
over 900 inmates escape congo prison after militant attack,"militants attacked a prison in the democratic republic of congo and freed at least 930 prisoners, the latest in a series of jailbreaks in the country, reports said. as many as 11 people, including eight prison guards, were reportedly killed in the attack. the unidentified militants had used heavy weapons in order to overrun the prison security, authorities said.",fear,"as many as 11 people, including eight prison guards, were killed in the attack."
nota fourth most popular choice in gujarat assembly polls,"the fourth most popular choice for voters in the gujarat assembly elections was nota, or none of the above, the option which allows voters not to choose any of the candidates. this ranks nota higher than parties like bsp and ncp. while the most popular choice was the bjp, the congress and independent candidates stood second and third respectively.",surprise,fourth most popular choice for voters in gujarat assembly elections was nota or none of the above.
"women take â¹24 lakh, make allegations on men bjp mp on metoo","speaking about metoo movement against sexual harassment, bjp mp udit raj on tuesday said, ""habitually women take â¹24 lakh, level allegations on men and then pick another man."" raj said, ""i accept it is in man's nature. but are women perfect? can it not be misused?"" nhe further said that one wrong blame can destroy a man's life.",anger,"raj: women take â124 lakh, level allegations on men and then pick another man."
hadn't told governing body about my resignation from ftii kher,"anupam kher, who stepped down as the chairman of pune's film and television institute of india ftii on wednesday, has revealed he hadn't told the institute's governing body about his resignation. adding they were shocked by his decision, kher added, ""i told them to continue their work for ftii."" kher cited his international assignments as the reason behind his resignation.",sadness,anupam kher stepped down as the chairman of pune's film and television institute of india ftii
"new poster of sonam, kareena starrer 'veere di wedding' out","a new poster of sonam kapoor and kareena kapoor starrer 'veere di wedding' has been released. it also stars swara bhasker, shikha talsania and sumeet vyas. the film reportedly revolves around four friends attending a wedding. directed by shashanka ghosh, 'veere di wedding' is scheduled to release on june 1, 2018.",neutral,kareena kapoor starrer'veere di wedding' reportedly revolves around four friends attending a wedding
s korea to pay â¹79 lakh as n korea's winter paralympic bills,south korea has approved a government fund of â¹79 lakh to financially support north korea's participation in the 2018 winter paralympics which will be held in pyeongchang. the fund will cover the costs of accommodation and goods required by the north korean delegation throughout the tournament. the games will start later on friday and will end on march 18.n,sadness,south korea has approved a fund of â179 lakh to financially support np in 2018 paralympics.
turkey withdraws from nato drills after prez shown as enemy,"turkey on friday withdrew troops from nato military exercises after turkish president recep tayyip erdoäan and turkey's founding leader mustafa kemal ataturk featured on an ""enemy chart"" during the drills. nato's secretary general jens stoltenberg later issued an apology, claiming the incident was the result of an ""individual's actions"" and did not reflect the alliance's views.",sadness,"turkey withdrew troops from nato exercises after turkish president and turkey's founding leader featured on an ""enemy chart"""
"pervez musharraf's passport, id card to be blocked reports","pakistan on thursday directed the interior ministry to block the national identity card and passport of former president pervez musharraf, according to reports. after the suspension, musharraf's bank accounts would be frozen and his international travelling restricted. he will also be barred from sale and purchase of his properties in pakistan and abroad, the report added.",anger,pakistan directed interior ministry to block national identity card and passport of former president pervez musharraf.
"possession of kirpans, batons banned in bengaluru","the karnataka government has banned the possession and acquisition of arms, including swords, machetes, kirpans, and batons, without a license in bengaluru. the ban is aimed at giving police the power to seize weapons under suspicious circumstances, officials said. however, sikh leaders complained that inclusion of sikh religious symbol 'kirpan' under the ban violated the freedom of religion.",anger,the ban is aimed at giving police power to seize weapons under suspicious circumstances.
traders' body moves nclat over flipkartwalmart deal nod,traders' body cait has filed a petition in national company law appellate tribunal nclat over competition commission of india's cci approval of flipkartwalmart deal. the petition mentioned that cci in its order ignored the 'predatory' activities carried out by both flipkart and walmart in the past. cait further argued that the deal will affect other wholesalers on the platform.,neutral,traders' body cait filed a petition over cci approval of flipkartwalmart deal.
pune restrict mumbai to second lowest total in an ipl final,"rising pune supergiant restricted mumbai indians to 1298, the second lowest team total in an ipl final, in the 2017 edition's summit clash on sunday. pacers jaydev unadkat and daniel christian, and spinner adam zampa picked up two wickets each while two batsmen got run out. this is mumbai's fourth and pune's first ipl final.",sadness,"pune supergiant restricted mumbai indians to 1298, second lowest team total in ipl final."
"kerala is on path of saffronisation, says rss","rashtriya swayamsevak sangh rss ideologue rakesh sinha on saturday slammed cpim general secretary sitaram yechury saying, ""i think by the next elections, the cpim would be marginalised as kerala is on the path of saffronisation."" his remark came after yechury said that the saffron brigade is desperately trying to expand its base in the state through violent means.",neutral,cpim general secretary sitaram yechury says kerala is on path of saffronisation
"aus media compared kohli with wrong donald, tweets kaif","reacting to australian media's comparison of indian captain virat kohli with the us president donald trump, former cricketer mohammad kaif tweeted that they have compared the batsman with the wrong donald. ""shortly some of them will compare him with the great donald bradman,"" kaif added. earlier, michael clarke had called the comparison between kohli and trump ""a load of shit"".",neutral,mohammad kaif reacts to australian media's comparison of indian captain virat kohli with donald trump
"gambhir shares picture of daughters, names newborn 'anaiza'","cricketer gautam gambhir, who was blessed with his second child on june 21, has shared a picture of his daughters on twitter, naming his newborn daughter 'anaiza'. gambhir, who got married in october 2011, already has a threeyearold daughter named aazeen. the cricketer captioned the picture, ""two little princess who rule our hearts, aazeen and anaiza!""",joy,gautam gambhir is blessed with his second child on june 21.
glenn maxwell being wasted batting at no. 7 allan border,"former australia captain allan border reckons that glenn maxwell is 'wasted' when he is sent out to bat at number seven in odis. during the opening onedayer against india, maxwell entered in the 48th over and scored 11 runs off the five deliveries he faced. ""i think he's maxwell a good enough player to be playing test cricket,"" border said.",sadness,glenn maxwell sent out to bat at number seven in odis
1.24l kerala kids not disclosing religion is incomplete data,"kerala education minister c ravindranath's recent announcement that 1.24 lakh students across the state refused to fill the caste and religion columns during their school admission was based on incomplete information. the school staff that submitted student data on the education department's website had only filled the mandatory columns, which did not include caste and religion.",sadness,1.24 lakh students refuse to fill caste and religion columns kerala education minister c ravindranath.
"confidence will never leave, i will take it to grave gayle","after slamming a 33ball 63 on his kxip debut, windies' batsman chris gayle said, ""the confidence will never leave, i'll take it to the grave."" ""the batting will always be there to be honest, it won't leave the universe boss until i call this game quits,"" he added. gayle holds the record for the highestever score 175 in the ipl.",sadness,chris gayle slamms a 33ball 63 on his kxip debut
teaser of 'godzilla king of the monsters' released,"the teaser of bradley whitford, millie bobby brown and vera farmiga starrer 'godzilla king of the monsters' has been released. the film reportedly has a budget of 200 million and will be advertised for another 100150 million. directed by michael dougherty, the film is scheduled to release on may 31, 2019.",neutral,"bradley whitford, millie bobby brown and vera farmiga starrer 'godzilla king of the monsters'"
"projects worth â¹4,378 cr cleared in 5 months himachal cm","development projects worth â¹4,378 crore have been cleared by the government in the last five months in himachal pradesh, chief minister jairam thakur has said. he further said projects on rainwater harvesting schemes worth nearly â¹4,751 crore and water scheme projects worth â¹700 crore are being finalised. this comes after the state's capital shimla faced an acute water crisis.",joy,"development projects worth â14,378 crore cleared by government in last five months, chief minister says."
pak deploys more troops amid continuing tension along loc,"pakistan has deployed more troops along the line of control in jk amid continuing tensions and crossborder firing, reports quoting indian army officials said. the strength of the pakistani troops in the area was nearly half of the indian army's strength since 2003. the increase in pakistani troops could be due to fear after 2016 surgical strikes, officials said.",anger,strength of pakistani troops in area nearly half of indian army's strength since 2003.
air india lifts ban on shiv sena mp ravindra gaikwad,"air india has lifted the ban on shiv sena mp ravindra gaikwad, accused of assaulting an employee of the airline at delhi airport last month. the revocation comes after shiv sena brought up the issue in parliament on thursday, threatening to stall all flights from mumbai if the ban was not lifted. air india had earlier repeatedly cancelled gaikwad's tickets.",anger,air india lifts ban on shiv sena mp ravindra gaikwad
porsche announces limitededition 911 speedster for 2019,"porsche on tuesday announced a limitededition red version of the 911 speedster concept car first revealed in a silver hue earlier in june. it features the concept's 'double bubble' rear deck as well as a streamlined softtop roof. only 1,948 units of 911 speedster will be built which is due for production in the first half of 2019, porsche said.",neutral,limitededition red version of 911 speedster first revealed in silver hue in june.
"minutes after reviving newborn to life, doctor dies in labour room","a 48yearold doctor in west bengal collapsed and died of heart attack, minutes after reviving a newborn girl to life in labour room. the newborn showed no movement after the delivery, following which the doctor reportedly placed her in a warmer and just as he managed to revive her, he collapsed. he was declared brought dead in a nearby hospital.",sadness,a 48-year-old doctor collapsed and died of heart attack in west bengal.
greek students protest over suspension of free books scheme,"students in the greek capital athens on friday protested outside the ministry of education's building after they stopped receiving free books as part of a government scheme. publishers suspended the distribution of books citing payment delays from the government. adding there were payment delays in the past as well, the publishers said they could not cover the costs themselves.",anger,students protest outside ministry of education's building after they stopped receiving free books.
smith has hit 1000 test runs at 70 avg for 4 straight yrs,"australia captain steve smith has become the first test batsman to score 1,000plus runs and average over 70 in a calendar year for the fourth successive time. smith, who scored 1,079 runs at 71.93 last year, ended 2017 with 1,305 runs at 76.76. in 2014, smith amassed 1,146 runs at 81.85 while he hit 1,474 runs at 73.70 in 2015.",neutral,australia captain steve smith averages over 70 in a calendar year for fourth successive time.
india to sign pact with iran for oil payments in rupees reports,"india is looking to sign an initial agreement with iran this month to settle all oil trade in rupees through uco bank, according to reports. india used a similar mechanism in the previous round of sanctions. india has received a temporary waiver from the us to buy iranian oil after it reimposed sanctions on the persian gulf nation.",neutral,india is looking to sign an initial agreement with iran this month to settle all oil trade in rupees.
father kills daughter for going to wedding against his will,"a 22yearold woman, rubal, was allegedly shot dead by her father in haryana's kurukshetra district on friday. the incident reportedly happened after rubal went to a wedding without her father's permission. enraged that she had refused to obey him, the father, who wanted rubal to sit at home and study, fired three rounds at her, the police said.",anger,rubal went to a wedding without her father's permission.
"23 killed due to lightning, storm in bihar","at least 23 people lost their lives due to lightning and a wall collapse caused by a storm in bihar on sunday. lightning strikes in the state killed 18 people across eight districts. additionally, five people were killed in separate incidents of wall collapse triggered by a storm that blew at a speed of 5070km per hour, in west champaran.",sadness,at least 23 people lost their lives due to lightning and a wall collapse in bihar.
"how do hurricanes, the most violent storms on earth, form?","storms that form over the atlantic and eastern pacific ocean are called ""hurricanes"". storms develop only over warm ocean waters near the equator. the warm, moist air over the ocean rises upward leaving an area of lower air pressure. surrounding air from highpressure areas swirls in to take its place, which again warms up and rises, thereby feeding the hurricane.",anger,storms form over the atlantic and eastern pacific ocean
ukraine paid trump lawyer â¹2.7cr to arrange meeting report,"ukraine reportedly paid us president donald trump's lawyer michael cohen over â¹2.7 crore to set up a meeting between the leaders of the two countries. ukraine's registered lobbyists reached out to cohen for talks as they could only arrange a photoop between ukrainian president petro poroshenko and trump, reports said. both the leaders met at the white house last year.",neutral,ukraine paid us president donald trump's lawyer michael cohen over â12.7 crore.
firm develops ai to detect heart attacks with 93 accuracy,"danish software company corti has developed an artificial intelligence ai system that can detect heart attacks during emergency calls with 93 accuracy rate. the ai analyses the caller's words, voice tone, and background noise while describing an incident. according to a study, the system gave results in an average of 48 seconds, over 30 seconds faster than humans.",fear,corti has developed an artificial intelligence ai system that can detect heart attacks.
dinosaur extinction made mammals more active in day study,"ancient mammals started becoming more active during the daytime around 65.8 million years ago, 200,000 years after dinosaurs went extinct, a ukbased study has inferred from genetic data of 2,000 presentday mammals. gorillas were probably among the first to come out of the dark in dinosaurs' absence, however, a transition from nocturnal lifestyle would've taken millions of years for others.",neutral,"ancient mammals became more active during the daytime around 65.8 million years ago, 200,000 years after dinosaurs went extinct."
russia denies its invasion of poland in 1939 during wwii,"russia has denied that the soviet union invaded poland from the east on september 17, 1939, following nazi germany's invasion of the country 16 days earlier from the west, marking the beginning of world war ii. russia further claimed that the polish resistance had been ""crushed"" by the bettertrained german military before soviet troops ""crossed"" the poland border.",anger,"russia denies soviet union invaded poland from east on september 17, 1939."
"doordarshan cameraman, 2 jawans killed in naxal attack","doordarshan tv cameraman achyuta nanda sahu and two crpf jawans were martyred in a naxal attack in chhattisgarh's dantewada on tuesday. reports suggested that the news channel crew had gone to dantewada's aranpur to record a documentary film. the attack comes just days ahead of the assembly elections, scheduled on november 12 and 20.",sadness,doordarshan tv cameraman martyred in naxal attack on chhattisgarh's dantewada.
"star india owns rights worth â¹22,485 crore of indian cricket","after acquiring broadcast rights of indian cricket team's home series for the next five years for â¹6,138.1 crore, star india now owns â¹22,485 crore worth of media rights for cricket in india. it had acquired the ipl's global media rights with a consolidated bid of â¹16,347.5 crore last year. star india also owns broadcast rights of all major icc tournaments.",joy,"ipl acquired broadcast rights for next five years for â16,138.1 crore."
highspeed magnetic particles may bypass moore's law study,"in 1965, intel cofounder gordon moore observed data storage abilities of computer chips double every year, later observed at 18 months. now, an mit study has shown magnetic particles called 'skyrmions' can store data on surfaces a few atoms wide, likely bypassing moore's law. the system could potentially encode data at high speeds, substituting conventional storage devices like hard disks.",neutral,mit study shows magnetic particles can store data on surfaces a few atoms wide.
"we'll not punish you, brexit is punishment enough eu to uk","while releasing a set of draft guidelines defining european union's approach towards the brexit negotiations, eu president donald tusk said that they will not punish the uk because brexit is ""punishment enough"". brexit negotiations will be tough but it will not be a war, maltese pm joseph muscat added. however, the draft said the uk must accept eu rules.",anger,"brexit negotiations will be tough but it will not be a war, eu president donald tusk says."
baahubali 2 has taken indian cinema to new level naidu,"union minister venkaiah naidu on sunday tweeted that baahubali 2 has taken indian cinema to an entirely new level. ""coming from regional language team it is all the more praiseworthy,"" he added. in another tweet he wrote, ""baahubali2...is a great visual treat giving the experience of legendary hollywood films benhur and ten commandments"".",joy,venkaiah naidu tweets baahubali 2 has taken indian cinema to an entirely new level.
"video 10 wild elephants enter chinese village, cause damage","a group of 10 wild asian elephants entered a village in the chinese province of yunnan this week and caused financial losses to villagers by eating crops. however, no casualties were reported from the incident. officials said that insufficiency of food in local forests has caused the elephants to enter crop fields in several villages over the past few weeks.n",anger,"10 wild asian elephants entered village in yunnan, chinese province."
"french team gets water cannon salute, red carpet welcome","the world cupwinning french team was given a red carpet welcome and a water cannon salute at the charles de gaulle airport in paris. following the reception at the airport, the team went on a victory lap parade along the champs elysees. after the parade, the french team was given a special reception at the french presidential palace.",joy,world cup winning team given red carpet welcome and water cannon salute at paris airport.
sidharth's film shotgun shaadi renamed jabariya jodi report,"sidharth malhotra and parineeti chopra starrer film 'shotgun shaadi' has been renamed as 'jabariya jodi', as per reports. 'jabariya' means 'zabardasti' in bhojpuri and the title refers to a couple who is forced to get married, stated reports. ""the film will go on floors in lucknow...is a love story based on the concept of groom kidnapping,"" sidharth had earlier said.",neutral,'jabariya' means zabardasti in bhojpuri
